card_type,card_set,card_name,quest_type,quest_any_kind_requirement,plot_quest,intrigue_type,building_cost,quest_requirement_text,quest_reward_text,static_resources_text,owner_resources_text,resource_accum_text,building_location,card_text,quest_effects_text,quest_effects_text_zh,possible_lore_text,card_scene_name,image_large_id,image_file,display_name,source_file,variant_count,variant_card_names,translation_versions,zh_codex_name,zh_codex_card_text,zh_codex_possible_lore_text,zh_codex_building_location,zh_printed_name,zh_printed_card_text,zh_printed_possible_lore_text,zh_printed_building_location
building,base,Caravan Court,,,False,,4,,,,1 fighter,"When this Building is put into play and at the start of each round, place 2 Fighters on this space.",South Ward,"Take all Fighters from this space. Owner takes 1 Fighter. When this Building is put into play and at the start of each round, place 2 Fighters on this space.",,,"Caravans arrive frequently at this open-air plaza, and with them able-bodied warriors looking for work.",LW_Buildings_01,,,Caravan Court,cards_buildings.lua,1,,"{""zh_codex"": {""label"": ""中文校译"", ""source"": ""Codex building translation using locked project terminology, local DND references, and rulebook building lore, 2026-06-02"", ""name"": ""商队庭院"", ""card_text"": ""拿取此行动格上的所有战士。拥有者拿取 1 个战士。此建筑放入场上时以及每轮开始时，在此行动格上放置 2 个战士。"", ""possible_lore_text"": ""商队频繁抵达这座露天广场，随行而来的还有寻找工作的健壮战士。"", ""building_location"": ""南区""}, ""zh_printed"": {""label"": ""印刷版"", ""source"": ""User-provided printed building names, 2026-06-02"", ""name"": ""商队广场"", ""card_text"": """", ""possible_lore_text"": """", ""building_location"": """"}}",商队庭院,拿取此行动格上的所有战士。拥有者拿取 1 个战士。此建筑放入场上时以及每轮开始时，在此行动格上放置 2 个战士。,商队频繁抵达这座露天广场，随行而来的还有寻找工作的健壮战士。,南区,商队广场,,,
building,base,Dragon Tower,,,False,,3,,,1 wizard,,,Sea Ward,Take 1 Wizard and 1 Intrigue card. Owner takes 1 Intrigue card.,,,The secretive wizard Maaril lives in this sinister tower.,LW_Buildings_02,,,Dragon Tower,cards_buildings.lua,1,,"{""zh_codex"": {""label"": ""中文校译"", ""source"": ""Codex building translation using locked project terminology, local DND references, and rulebook building lore, 2026-06-02"", ""name"": ""巨龙塔"", ""card_text"": ""拿取 1 个法师和 1 张阴谋卡。拥有者拿取 1 张阴谋卡。"", ""possible_lore_text"": ""神秘的法师马瑞尔居住在这座阴森的高塔中。"", ""building_location"": ""海区""}, ""zh_printed"": {""label"": ""印刷版"", ""source"": ""User-provided printed building names, 2026-06-02"", ""name"": ""龙塔"", ""card_text"": """", ""possible_lore_text"": """", ""building_location"": """"}}",巨龙塔,拿取 1 个法师和 1 张阴谋卡。拥有者拿取 1 张阴谋卡。,神秘的法师马瑞尔居住在这座阴森的高塔中。,海区,龙塔,,,
building,base,Fetlock Court,,,False,,8,,,2 fighter; 1 wizard,,,Castle Ward,Take 2 Fighters and 1 Wizard. Owner takes 1 Fighter or 1 Wizard.,,,"Just north of Castle Waterdeep, this courtyard is a staging area for the City Guard’s mounted patrols as well as an impromptu concert hall for practicing bards.",LW_Buildings_03,,,Fetlock Court,cards_buildings.lua,1,,"{""zh_codex"": {""label"": ""中文校译"", ""source"": ""Codex building translation using locked project terminology, local DND references, and rulebook building lore, 2026-06-02"", ""name"": ""马蹄庭院"", ""card_text"": ""拿取 2 个战士和 1 个法师。拥有者拿取 1 个战士或 1 个法师。"", ""possible_lore_text"": ""这座庭院位于深水城城堡以北，既是城市守卫骑巡队的集结地，也是不期而成的吟游诗人练习厅。"", ""building_location"": ""城堡区""}, ""zh_printed"": {""label"": ""印刷版"", ""source"": ""User-provided printed building names, 2026-06-02"", ""name"": ""蹄踵庭院"", ""card_text"": """", ""possible_lore_text"": """", ""building_location"": """"}}",马蹄庭院,拿取 2 个战士和 1 个法师。拥有者拿取 1 个战士或 1 个法师。,这座庭院位于深水城城堡以北，既是城市守卫骑巡队的集结地，也是不期而成的吟游诗人练习厅。,城堡区,蹄踵庭院,,,
building,base,The Golden Horn,,,False,,4,,,,2 gold,"When this Building is put into play and at the start of each round, place 4 Gold on this space.",Trades Ward,"Take all Gold from this space. Owner takes 2 Gold. When this Building is put into play and at the start of each round, place 4 Gold on this space.",,,"In this gambling hall, the grand prize is a golden horn filled with mysterious riches.",LW_Buildings_04,,,"Golden Horn, The",cards_buildings.lua,1,,"{""zh_codex"": {""label"": ""中文校译"", ""source"": ""Codex building translation using locked project terminology, local DND references, and rulebook building lore, 2026-06-02"", ""name"": ""金角号"", ""card_text"": ""拿取此行动格上的所有金币。拥有者拿取 2 金币。此建筑放入场上时以及每轮开始时，在此行动格上放置 4 金币。"", ""possible_lore_text"": ""在这座赌场里，最高奖品是一只盛满神秘财富的金角号。"", ""building_location"": ""贸易区""}, ""zh_printed"": {""label"": ""印刷版"", ""source"": ""User-provided printed building names, 2026-06-02"", ""name"": ""金号角赌场"", ""card_text"": """", ""possible_lore_text"": """", ""building_location"": """"}}",金角号,拿取此行动格上的所有金币。拥有者拿取 2 金币。此建筑放入场上时以及每轮开始时，在此行动格上放置 4 金币。,在这座赌场里，最高奖品是一只盛满神秘财富的金角号。,贸易区,金号角赌场,,,
building,base,Helmstar Warehouse,,,False,,3,,,2 gold; 2 rogue,1 rogue,,Dock Ward,Take 2 Rogues and 2 Gold. Owner takes 1 Rogue.,,,"This seemingly legitimate business is home to one of the most successful fences in Waterdeep, Chuldan Helmstar.",LW_Buildings_05,,,Helmstar Warehouse,cards_buildings.lua,1,,"{""zh_codex"": {""label"": ""中文校译"", ""source"": ""Codex building translation using locked project terminology, local DND references, and rulebook building lore, 2026-06-02"", ""name"": ""赫姆斯塔仓库"", ""card_text"": ""拿取 2 个盗贼和 2 金币。拥有者拿取 1 个盗贼。"", ""possible_lore_text"": ""这家看似合法的商号，是深水城最成功销赃人之一丘尔丹·赫姆斯塔的据点。"", ""building_location"": ""港口区""}, ""zh_printed"": {""label"": ""印刷版"", ""source"": ""User-provided printed building names, 2026-06-02"", ""name"": ""赫尔姆斯塔仓库"", ""card_text"": """", ""possible_lore_text"": """", ""building_location"": """"}}",赫姆斯塔仓库,拿取 2 个盗贼和 2 金币。拥有者拿取 1 个盗贼。,这家看似合法的商号，是深水城最成功销赃人之一丘尔丹·赫姆斯塔的据点。,港口区,赫尔姆斯塔仓库,,,
building,base,Heroes' Garden,,,False,,4,,,,2 VP,,Sea Ward,"Take 1 face-up Quest card from Cliffwatch Inn. You may immediately complete that Quest. If you do, score 4 VP. Owner scores 2 VP.",,,"You can always find adventurers in this public park, retelling the stories of their exploits.",LW_Buildings_06,,,Heroes' Garden,cards_buildings.lua,1,,"{""zh_codex"": {""label"": ""中文校译"", ""source"": ""Codex building translation using locked project terminology, local DND references, and rulebook building lore, 2026-06-02"", ""name"": ""英雄花园"", ""card_text"": ""从崖望旅馆拿取 1 张面朝上的任务卡。你可以立即完成该任务；若如此做，获得 4 VP。拥有者获得 2 VP。"", ""possible_lore_text"": ""在这座公共公园里，你总能找到冒险者讲述自己的壮举。"", ""building_location"": ""海区""}, ""zh_printed"": {""label"": ""印刷版"", ""source"": ""User-provided printed building names, 2026-06-02"", ""name"": ""英雄花园"", ""card_text"": """", ""possible_lore_text"": """", ""building_location"": """"}}",英雄花园,从崖望旅馆拿取 1 张面朝上的任务卡。你可以立即完成该任务；若如此做，获得 4 VP。拥有者获得 2 VP。,在这座公共公园里，你总能找到冒险者讲述自己的壮举。,海区,英雄花园,,,
building,base,House of Good Spirits,,,False,,3,,,1 fighter,1 fighter,,South Ward,Take 1 Fighter and 1 Adventurer of any kind. Owner takes 1 Fighter.,,,"The rumors of a hidden dragon’s hoard draws adventurers to this inn, but they stay for the drinks.",LW_Buildings_07,,,House of Good Spirits,cards_buildings.lua,1,,"{""zh_codex"": {""label"": ""中文校译"", ""source"": ""Codex building translation using locked project terminology, local DND references, and rulebook building lore, 2026-06-02"", ""name"": ""佳酿之家"", ""card_text"": ""拿取 1 个战士和任意 1 个冒险者。拥有者拿取 1 个战士。"", ""possible_lore_text"": ""隐藏巨龙宝藏的传闻把冒险者吸引到这家旅馆，但让他们留下的是美酒。"", ""building_location"": ""南区""}, ""zh_printed"": {""label"": ""印刷版"", ""source"": ""User-provided printed building names, 2026-06-02"", ""name"": ""良魂旅馆"", ""card_text"": """", ""possible_lore_text"": """", ""building_location"": """"}}",佳酿之家,拿取 1 个战士和任意 1 个冒险者。拥有者拿取 1 个战士。,隐藏巨龙宝藏的传闻把冒险者吸引到这家旅馆，但让他们留下的是美酒。,南区,良魂旅馆,,,
building,base,House of Heroes,,,False,,8,,,1 cleric; 2 fighter,,,Sea Ward,Take 1 Cleric and 2 Fighters. Owner takes 1 Cleric or 1 Fighter.,,,"The largest shrine in Waterdeep is dedicated to Tempus, the Lord of Battle.",LW_Buildings_08,,,House of Heroes,cards_buildings.lua,1,,"{""zh_codex"": {""label"": ""中文校译"", ""source"": ""Codex building translation using locked project terminology, local DND references, and rulebook building lore, 2026-06-02"", ""name"": ""英雄之家"", ""card_text"": ""拿取 1 个牧师和 2 个战士。拥有者拿取 1 个牧师或 1 个战士。"", ""possible_lore_text"": ""深水城最大的神龛供奉着战争之主坦帕斯。"", ""building_location"": ""海区""}, ""zh_printed"": {""label"": ""印刷版"", ""source"": ""User-provided printed building names, 2026-06-02"", ""name"": ""英雄神殿"", ""card_text"": """", ""possible_lore_text"": """", ""building_location"": """"}}",英雄之家,拿取 1 个牧师和 2 个战士。拥有者拿取 1 个牧师或 1 个战士。,深水城最大的神龛供奉着战争之主坦帕斯。,海区,英雄神殿,,,
building,base,House of the Moon,,,False,,3,,,1 cleric,2 gold,,Sea Ward,Take 1 Cleric and 1 face-up Quest from Cliffwatch Inn. Owner takes 2 Gold.,,,This gilded temple attracts pilgrims in search of Selûne’s grace and power.,LW_Buildings_09,,,House of the Moon,cards_buildings.lua,1,,"{""zh_codex"": {""label"": ""中文校译"", ""source"": ""Codex building translation using locked project terminology, local DND references, and rulebook building lore, 2026-06-02"", ""name"": ""月之屋"", ""card_text"": ""拿取 1 个牧师，并从崖望旅馆拿取 1 张面朝上的任务卡。拥有者拿取 2 金币。"", ""possible_lore_text"": ""这座镀金神殿吸引着寻求苏伦恩的恩典与力量的朝圣者。"", ""building_location"": ""海区""}, ""zh_printed"": {""label"": ""印刷版"", ""source"": ""User-provided printed building names, 2026-06-02"", ""name"": ""月神殿"", ""card_text"": """", ""possible_lore_text"": """", ""building_location"": """"}}",月之屋,拿取 1 个牧师，并从崖望旅馆拿取 1 张面朝上的任务卡。拥有者拿取 2 金币。,这座镀金神殿吸引着寻求苏伦恩的恩典与力量的朝圣者。,海区,月神殿,,,
building,base,House of Wonder,,,False,,4,,,,2 gold,,Sea Ward,Spend 2 Gold. Take 2 x Cleric/Wizard. Owner takes 2 Gold.,,,"This ornate tower is dedicated to Mystra, the goddess of magic.",LW_Buildings_10,,,House of Wonder,cards_buildings.lua,1,,"{""zh_codex"": {""label"": ""中文校译"", ""source"": ""Codex building translation using locked project terminology, local DND references, and rulebook building lore, 2026-06-02"", ""name"": ""奇迹殿"", ""card_text"": ""支付 2 金币。拿取共 2 个牧师/法师，任意组合。拥有者拿取 2 金币。"", ""possible_lore_text"": ""这座华美高塔献给魔法女神密斯特拉。"", ""building_location"": ""海区""}, ""zh_printed"": {""label"": ""印刷版"", ""source"": ""User-provided printed building names, 2026-06-02"", ""name"": ""奇术之塔"", ""card_text"": """", ""possible_lore_text"": """", ""building_location"": """"}}",奇迹殿,支付 2 金币。拿取共 2 个牧师/法师，任意组合。拥有者拿取 2 金币。,这座华美高塔献给魔法女神密斯特拉。,海区,奇术之塔,,,
